(0.010506058001218866, 0.002518052787599253)
(0.001735326646907961, 0.0013022790501944403)
(0.0012684678329265417, 0.0012632039440003164)
(0.0010593816673608505, 0.000991053404311273)
(0.0009589524504826425, 0.0009091566929821559)
(0.000904858895879426, 0.0008493680779406048)
(0.0008508766098713425, 0.0007735959748351115)
(0.0008004276006435763, 0.0007228665152921322)
(0.0007831708062440157, 0.0007363731094804453)
(0.0007400305279356228, 0.0006674386918832093)
(0.0007064751709267054, 0.0006462720271071142)
(0.0006741388388866873, 0.0006137021570813228)
(0.0006643899806273344, 0.0006307425241213926)
(0.0006416671950323294, 0.0006282130780164152)
(0.0006324248813671064, 0.0006244381663062551)
(0.0006020973791627715, 0.0005619993892825268)
(0.0005853207166344948, 0.0005328684352942683)
(0.000575144148615644, 0.0005474699799843291)
(0.0005648548289023544, 0.0005059423422975901)
(0.0005604833206076805, 0.0005071814877273356)
(0.0005401393777922595, 0.0005473498195568298)
(0.0005183123575989157, 0.0005434572472524374)
(0.0005298873143043097, 0.00048375111277601583)
(0.0004966696143547949, 0.0005016941979695904)
(0.0004942018626955206, 0.00044803780335140355)
(0.0004908130320796922, 0.00047905868825879184)
(0.00048606638444723675, 0.0004453204941881345)
(0.00047021884456293906, 0.00043193967375121617)
(0.0004968933203495767, 0.0005136417024372581)
(0.00045429007841282646, 0.00041896110199926854)
(0.000496704023720518, 0.0005076758159780281)
(0.00044638928268891524, 0.00041310848919625217)
(0.0004457173023540867, 0.0004161949287431235)
(0.00044162374135472526, 0.00042779904764214964)
(0.002717470202555659, 0.001415723153300821)
(0.001209076040011903, 0.0010236739372943549)
(0.0010168366514244139, 0.0009524084564466822)
(0.0008973514918476071, 0.0008402656035577047)
(0.0008344367860399663, 0.0008146927594157689)
(0.0008161803930742692, 0.0008052658287194022)
(0.00083341911917799, 0.0008813610958044437)
(0.0007828344813161041, 0.0007788872041620631)
(0.0007420543963451057, 0.000708923558704555)
(0.0006859105289807398, 0.0006876559308829143)
(0.0006803075812722994, 0.0006834354791592093)
(0.0006760155333452709, 0.0006793321307223449)
(0.0006718696988098425, 0.0006752417898400032)
(0.0006677063804472793, 0.0006707966373490289)
(0.0006634811751148982, 0.0006666349858897639)
(0.0006589496018658456, 0.0006620382501228534)
(0.0006545048537153802, 0.0006574108401571024)
(0.0006492090067022467, 0.0006514853157568723)
(0.0006431062364542525, 0.0006454643115966006)
